! Channel Selection & Surface emissivity  & error
  300
  274 274 0 -1.0  6.46
  275 275 0 -1.0  5.75
  276 276 0 -1.0  6.43
  277 277 0 -1.0  7.15
  278 278 0 -1.0  7.17
  279 279 0 -1.0  7.16
  280 280 0 -1.0  7.19
  281 281 0 -1.0  7.15
  282 282 0 -1.0  7.15
  283 283 0 -1.0  7.13
  284 284 0 -1.0  7.20
  285 285 0 -1.0  7.21
  286 286 0 -1.0  6.28
  287 287 0 -1.0  6.00
  288 288 0 -1.0  6.75
  289 289 0 -1.0  7.21
  290 290 0 -1.0  6.79
  291 291 0 -1.0  6.69
  292 292 0 -1.0  6.99
  293 293 0 -1.0  6.95
  294 294 0 -1.0  6.48
  295 295 0 -1.0  6.06
  296 296 0 -1.0  6.48
  297 297 0 -1.0  7.06
  298 298 0 -1.0  7.03
  299 299 0 -1.0  7.06
  300 300 0 -1.0  5.91
Dimensions: DIM_000 DIM_001 DIM_002 DIM_003 DIM_004 DIM_005
For REG: 4096 65536 14 2 1092 2748; For GLB: 4096 65536 14 2 2748 2748
subpoint (longitude)
   104.7
Resolution (km)
   4.0
Parameters for lat/lon conversion: COFF(column offset) CFAC(column scale factor) ea(earth radius: km) eb(earth radius: km) h(height of satellite: km)
   1373.5 10233137.0 6378.137 6356.7523 42164
